episode_index,scene_id,target_color,instruction,num_steps,exception,ever_contact_success,ever_strict_lift_success,final_contact_success,final_strict_lift_success,ever_wrong_color_touch,target_lift_delta_final,first_contact_step,first_strict_lift_step,final_touching_colors
1,1,yellow,grasp only the yellow cylinder,35,,True,True,True,True,False,0.01224939338862896,28,32,"[""yellow""]"
2,1,red,grasp the red cylinder,35,,True,True,True,True,False,0.012235167436301708,27,32,"[""red""]"
3,1,green,grab the green cylinder,37,,True,True,True,True,False,0.012120424769818783,30,34,"[""green""]"
4,1,blue,take hold of the blue cylinder,39,,True,True,True,True,False,0.012157068587839603,32,36,"[""blue""]"
5,2,blue,pick up and hold the blue cylinder,38,,True,True,True,True,False,0.012215076945722103,31,35,"[""blue""]"
6,2,yellow,lift the yellow cylinder,46,,True,True,True,True,False,0.012893528677523136,38,43,"[""yellow""]"
7,2,green,grab the green cylinder,38,,True,True,True,True,False,0.01233785692602396,31,35,"[""green""]"
8,2,red,grasp the red cylinder,36,,True,True,True,True,False,0.012418475933372974,29,33,"[""red""]"
9,3,yellow,grasp and lift the yellow cylinder,36,,True,True,True,True,False,0.01220609899610281,29,33,"[""yellow""]"
10,3,red,pick up only the red cylinder,43,,True,True,True,True,False,0.012354935519397259,36,40,"[""red""]"
11,3,green,raise the green cylinder,34,,True,True,True,True,False,0.012269440107047558,27,31,"[""green""]"
12,3,blue,move to the blue cylinder and lift it,40,,True,True,True,True,False,0.012964188121259212,33,37,"[""blue""]"
13,4,yellow,grab and lift the yellow cylinder,38,,True,True,True,True,False,0.012571320869028568,30,35,"[""yellow""]"
14,4,blue,grab the blue cylinder,50,,False,False,False,False,False,0.0003649657592177391,,,[]
15,4,red,take hold of the red cylinder,50,,False,False,False,False,False,0.00012050289660692215,,,[]
16,4,green,pick up the green cylinder,50,,True,False,True,False,False,0.006555367261171341,47,,"[""green""]"
17,5,green,lift the green cylinder without touching the others,36,,True,True,True,True,False,0.012078799307346344,29,33,"[""green""]"
18,5,yellow,pick up only the yellow cylinder,45,,True,True,True,True,False,0.01249257754534483,38,42,"[""yellow""]"
