DATASET_ROOT=Mujoco/raccoon_stack_v11_extension_120
NUM_EPISODES=120
SEED=20260615
MAX_ATTEMPTS=2400
OBJECT_X_RANGE=-0.10,0.10
OBJECT_Y_RANGE=0.135,0.180
[Attempt 0001] scene_id=000001 | episode_id=000001 | task_type='stack' | source='red' | base='yellow' | success=True | success_count=1/120 | pair_count=1/10
[Attempt 0002] scene_id=000002 | episode_id=000002 | task_type='stack' | source='blue' | base='yellow' | success=True | success_count=2/120 | pair_count=1/10
[Attempt 0003] scene_id=000003 | episode_id=000003 | task_type='stack' | source='yellow' | base='red' | success=True | success_count=3/120 | pair_count=1/10
[Attempt 0004] scene_id=000004 | episode_id=000004 | task_type='stack' | source='blue' | base='red' | success=True | success_count=4/120 | pair_count=1/10
[Attempt 0005] scene_id=000005 | episode_id=000005 | task_type='stack' | source='yellow' | base='blue' | success=True | success_count=5/120 | pair_count=1/10
[Attempt 0006] scene_id=000006 | episode_id=000006 | task_type='stack' | source='red' | base='green' | success=True | success_count=6/120 | pair_count=1/10
[Attempt 0007] scene_id=000007 | episode_id=000007 | task_type='stack' | source='blue' | base='green' | success=True | success_count=7/120 | pair_count=1/10
[Attempt 0008] scene_id=000008 | episode_id=000008 | task_type='stack' | source='green' | base='red' | success=True | success_count=8/120 | pair_count=1/10
[Attempt 0009] scene_id=000009 | episode_id=000009 | task_type='stack' | source='green' | base='blue' | success=True | success_count=9/120 | pair_count=1/10
[Attempt 0010] scene_id=000010 | episode_id=000010 | task_type='stack' | source='red' | base='blue' | success=True | success_count=10/120 | pair_count=1/10
[Attempt 0011] scene_id=000011 | episode_id=000011 | task_type='stack' | source='yellow' | base='green' | success=True | success_count=11/120 | pair_count=1/10
[Attempt 0012] scene_id=000012 | episode_id=000012 | task_type='stack' | source='green' | base='yellow' | success=True | success_count=12/120 | pair_count=1/10
[Attempt 0013] scene_id=000013 | episode_id=000013 | task_type='stack' | source='red' | base='blue' | success=True | success_count=13/120 | pair_count=2/10
[Attempt 0014] scene_id=000014 | episode_id=000014 | task_type='stack' | source='green' | base='yellow' | success=True | success_count=14/120 | pair_count=2/10
[Attempt 0015] scene_id=000015 | episode_id=000015 | task_type='stack' | source='blue' | base='red' | success=True | success_count=15/120 | pair_count=2/10
[Attempt 0016] scene_id=000016 | episode_id=000016 | task_type='stack' | source='yellow' | base='blue' | success=True | success_count=16/120 | pair_count=2/10
[Attempt 0017] scene_id=000017 | episode_id=000017 | task_type='stack' | source='red' | base='green' | success=True | success_count=17/120 | pair_count=2/10
[Attempt 0018] scene_id=000018 | episode_id=000018 | task_type='stack' | source='yellow' | base='green' | success=True | success_count=18/120 | pair_count=2/10
[Attempt 0019] scene_id=000019 | episode_id=000019 | task_type='stack' | source='blue' | base='yellow' | success=True | success_count=19/120 | pair_count=2/10
[Attempt 0020] scene_id=000020 | episode_id=000020 | task_type='stack' | source='yellow' | base='red' | success=True | success_count=20/120 | pair_count=2/10
[Attempt 0021] scene_id=000021 | episode_id=000021 | task_type='stack' | source='green' | base='red' | success=True | success_count=21/120 | pair_count=2/10
[Attempt 0022] scene_id=000022 | episode_id=000022 | task_type='stack' | source='green' | base='blue' | success=True | success_count=22/120 | pair_count=2/10
[Attempt 0023] scene_id=000023 | episode_id=000023 | task_type='stack' | source='blue' | base='green' | success=True | success_count=23/120 | pair_count=2/10
[Attempt 0024] scene_id=000024 | episode_id=000024 | task_type='stack' | source='red' | base='yellow' | success=True | success_count=24/120 | pair_count=2/10
[Attempt 0025] scene_id=000025 | episode_id=000025 | task_type='stack' | source='green' | base='blue' | success=True | success_count=25/120 | pair_count=3/10
[Attempt 0026] scene_id=000026 | episode_id=000026 | task_type='stack' | source='red' | base='blue' | success=True | success_count=26/120 | pair_count=3/10
[Attempt 0027] scene_id=000027 | episode_id=000027 | task_type='stack' | source='yellow' | base='red' | success=True | success_count=27/120 | pair_count=3/10
[Attempt 0028] scene_id=000028 | episode_id=000028 | task_type='stack' | source='yellow' | base='green' | success=True | success_count=28/120 | pair_count=3/10
[Attempt 0029] scene_id=000029 | episode_id=000029 | task_type='stack' | source='blue' | base='green' | success=True | success_count=29/120 | pair_count=3/10
[Attempt 0030] scene_id=000030 | episode_id=000030 | task_type='stack' | source='blue' | base='yellow' | success=True | success_count=30/120 | pair_count=3/10
[Attempt 0031] scene_id=000031 | episode_id=000031 | task_type='stack' | source='yellow' | base='blue' | success=True | success_count=31/120 | pair_count=3/10
[Attempt 0032] scene_id=000032 | episode_id=000032 | task_type='stack' | source='green' | base='red' | success=True | success_count=32/120 | pair_count=3/10
[Attempt 0033] scene_id=000033 | episode_id=000033 | task_type='stack' | source='red' | base='yellow' | success=True | success_count=33/120 | pair_count=3/10
[Attempt 0034] scene_id=000034 | episode_id=000034 | task_type='stack' | source='green' | base='yellow' | success=True | success_count=34/120 | pair_count=3/10
