[OK] train/episode_000001 | steps 49 -> 48 | success=True
[OK] train/episode_000002 | steps 49 -> 48 | success=True
[OK] train/episode_000003 | steps 49 -> 48 | success=True
[OK] train/episode_000004 | steps 49 -> 48 | success=True
[OK] train/episode_000005 | steps 49 -> 48 | success=True
[OK] train/episode_000006 | steps 49 -> 48 | success=True
[OK] train/episode_000007 | steps 49 -> 48 | success=True
[OK] train/episode_000008 | steps 49 -> 48 | success=True
[OK] train/episode_000009 | steps 49 -> 48 | success=True
[OK] train/episode_000010 | steps 49 -> 48 | success=True
[OK] train/episode_000011 | steps 49 -> 48 | success=True
[OK] train/episode_000012 | steps 49 -> 48 | success=True
[OK] train/episode_000013 | steps 49 -> 48 | success=True
[OK] train/episode_000014 | steps 49 -> 48 | success=True
[OK] train/episode_000015 | steps 49 -> 48 | success=True
[OK] train/episode_000016 | steps 49 -> 48 | success=True
[OK] train/episode_000021 | steps 49 -> 48 | success=True
[OK] train/episode_000022 | steps 49 -> 48 | success=True
[OK] train/episode_000023 | steps 49 -> 48 | success=True
[OK] train/episode_000024 | steps 49 -> 48 | success=True
[OK] train/episode_000025 | steps 49 -> 48 | success=True
[OK] train/episode_000026 | steps 49 -> 48 | success=True
[OK] train/episode_000027 | steps 49 -> 46 | success=True
[OK] train/episode_000028 | steps 49 -> 48 | success=True
[OK] train/episode_000033 | steps 49 -> 48 | success=True
[OK] train/episode_000034 | steps 49 -> 48 | success=True
[OK] train/episode_000035 | steps 49 -> 48 | success=True
[OK] train/episode_000036 | steps 49 -> 48 | success=True
[OK] train/episode_000037 | steps 49 -> 48 | success=True
[OK] train/episode_000038 | steps 49 -> 48 | success=True
[OK] train/episode_000039 | steps 49 -> 48 | success=True
[OK] train/episode_000040 | steps 49 -> 47 | success=True
[OK] train/episode_000041 | steps 49 -> 48 | success=True
[OK] train/episode_000042 | steps 49 -> 48 | success=True
[OK] train/episode_000043 | steps 49 -> 48 | success=True
[OK] train/episode_000044 | steps 49 -> 48 | success=True
[OK] train/episode_000045 | steps 49 -> 48 | success=True
[OK] train/episode_000046 | steps 49 -> 48 | success=True
[OK] train/episode_000047 | steps 49 -> 48 | success=True
[OK] train/episode_000048 | steps 49 -> 48 | success=True
[OK] train/episode_000049 | steps 49 -> 48 | success=True
[OK] train/episode_000050 | steps 49 -> 48 | success=True
[OK] train/episode_000051 | steps 49 -> 48 | success=True
[OK] train/episode_000052 | steps 49 -> 48 | success=True
[OK] train/episode_000053 | steps 49 -> 48 | success=True
[OK] train/episode_000054 | steps 49 -> 48 | success=True
[OK] train/episode_000055 | steps 49 -> 48 | success=True
[OK] train/episode_000056 | steps 49 -> 48 | success=True
[OK] train/episode_000057 | steps 49 -> 48 | success=True
[OK] train/episode_000058 | steps 49 -> 48 | success=True
[OK] train/episode_000059 | steps 49 -> 47 | success=True
[OK] train/episode_000060 | steps 49 -> 48 | success=True
[OK] train/episode_000065 | steps 49 -> 48 | success=True
[OK] train/episode_000066 | steps 49 -> 48 | success=True
[OK] train/episode_000067 | steps 49 -> 48 | success=True
[OK] train/episode_000068 | steps 49 -> 48 | success=True
[OK] train/episode_000069 | steps 49 -> 48 | success=True
[OK] train/episode_000070 | steps 49 -> 49 | success=True
[OK] train/episode_000071 | steps 49 -> 48 | success=True
[OK] train/episode_000072 | steps 49 -> 48 | success=True
[OK] train/episode_000073 | steps 49 -> 48 | success=True
[OK] train/episode_000074 | steps 49 -> 48 | success=True
[OK] train/episode_000075 | steps 49 -> 47 | success=True
[OK] train/episode_000076 | steps 49 -> 48 | success=True
[OK] train/episode_000077 | steps 49 -> 49 | success=True
[OK] train/episode_000078 | steps 49 -> 48 | success=True
[OK] train/episode_000079 | steps 49 -> 48 | success=True
[OK] train/episode_000080 | steps 49 -> 48 | success=True
[OK] train/episode_000081 | steps 49 -> 48 | success=True
[OK] train/episode_000082 | steps 49 -> 49 | success=True
[OK] train/episode_000083 | steps 49 -> 48 | success=True
[OK] train/episode_000084 | steps 49 -> 47 | success=True
[OK] train/episode_000085 | steps 49 -> 48 | success=True
[OK] train/episode_000086 | steps 49 -> 48 | success=True
[OK] train/episode_000087 | steps 49 -> 48 | success=True
[OK] train/episode_000088 | steps 49 -> 48 | success=True
[OK] train/episode_000089 | steps 49 -> 48 | success=True
[OK] train/episode_000090 | steps 49 -> 48 | success=True
[OK] train/episode_000091 | steps 49 -> 48 | success=True
[OK] train/episode_000092 | steps 49 -> 48 | success=True
[OK] train/episode_000093 | steps 49 -> 49 | success=True
[OK] train/episode_000094 | steps 49 -> 48 | success=True
[OK] train/episode_000095 | steps 49 -> 48 | success=True
[OK] train/episode_000096 | steps 49 -> 47 | success=True
[OK] train/episode_000101 | steps 49 -> 48 | success=True
[OK] train/episode_000102 | steps 49 -> 48 | success=True
[OK] train/episode_000103 | steps 49 -> 48 | success=True
[OK] train/episode_000104 | steps 49 -> 48 | success=True
[OK] train/episode_000105 | steps 49 -> 48 | success=True
[OK] train/episode_000106 | steps 49 -> 48 | success=True
[OK] train/episode_000107 | steps 49 -> 48 | success=True
[OK] train/episode_000108 | steps 49 -> 48 | success=True
[OK] train/episode_000109 | steps 49 -> 48 | success=True
[OK] train/episode_000110 | steps 49 -> 48 | success=True
[OK] train/episode_000111 | steps 49 -> 48 | success=True
[OK] train/episode_000112 | steps 49 -> 48 | success=True
[OK] train/episode_000113 | steps 49 -> 48 | success=True
[OK] train/episode_000114 | steps 49 -> 48 | success=True
