episode_index,scene_id,target_color,instruction,final_strict_lift_success,ever_wrong_color_touch,ever_contact_success,target_lift_delta_final,failure_class,min_xy_to_target_m,first_close_step,close_count,gif_path
1,1,yellow,grasp only the yellow cylinder,True,False,True,0.01224939338862896,target_lift_success,0.004687002444400832,28,7,
2,1,red,grasp the red cylinder,True,False,True,0.012235167436301708,target_lift_success,0.0011121524188868782,27,8,
3,1,green,grab the green cylinder,True,False,True,0.012120424769818783,target_lift_success,0.0013961471257094283,30,7,
4,1,blue,take hold of the blue cylinder,True,False,True,0.012157068587839603,target_lift_success,0.0020973547503222974,32,7,
5,2,blue,pick up and hold the blue cylinder,True,False,True,0.012215076945722103,target_lift_success,0.0013119800712045697,31,7,
6,2,yellow,lift the yellow cylinder,True,False,True,0.012893528677523136,target_lift_success,0.0015191123650119822,38,8,
7,2,green,grab the green cylinder,True,False,True,0.01233785692602396,target_lift_success,0.003117219347834475,31,7,
8,2,red,grasp the red cylinder,True,False,True,0.012418475933372974,target_lift_success,0.002066959527120255,29,7,
9,3,yellow,grasp and lift the yellow cylinder,True,False,True,0.01220609899610281,target_lift_success,0.0007848185107713447,29,7,
10,3,red,pick up only the red cylinder,True,False,True,0.012354935519397259,target_lift_success,0.0011448411872130903,36,7,
11,3,green,raise the green cylinder,True,False,True,0.012269440107047558,target_lift_success,0.00021091302384497977,27,7,
12,3,blue,move to the blue cylinder and lift it,True,False,True,0.012964188121259212,target_lift_success,0.005349951957767318,33,7,
13,4,yellow,grab and lift the yellow cylinder,True,False,True,0.012571320869028568,target_lift_success,0.00029048221249180985,30,8,
14,4,blue,grab the blue cylinder,False,False,False,0.0003649657592177391,no_contact_or_no_close,0.01151595880038132,23,22,/data/biy/Raccoonbot_Openvla/reports/v11_initial_lift_close_1200_b8ga2_15000_rollout100_failgifs/v11_initial_lift_close_1200_b8ga2_15000_rollout100_failgifs_episode_0014_blue.gif
15,4,red,take hold of the red cylinder,False,False,False,0.00012050289660692215,no_contact_or_no_close,0.0014104742451851871,,0,/data/biy/Raccoonbot_Openvla/reports/v11_initial_lift_close_1200_b8ga2_15000_rollout100_failgifs/v11_initial_lift_close_1200_b8ga2_15000_rollout100_failgifs_episode_0015_red.gif
16,4,green,pick up the green cylinder,False,False,True,0.006555367261171341,contact_but_lift_fail,0.0025262569454726773,47,3,/data/biy/Raccoonbot_Openvla/reports/v11_initial_lift_close_1200_b8ga2_15000_rollout100_failgifs/v11_initial_lift_close_1200_b8ga2_15000_rollout100_failgifs_episode_0016_green.gif
17,5,green,lift the green cylinder without touching the others,True,False,True,0.012078799307346344,target_lift_success,0.0003976896377605489,29,7,
18,5,yellow,pick up only the yellow cylinder,True,False,True,0.01249257754534483,target_lift_success,0.003238914569478569,38,7,
19,5,red,lift and hold the red cylinder,True,False,True,0.012178424745798111,target_lift_success,0.0010909830786965454,28,7,
20,5,blue,pick up the cylinder that is blue,True,True,True,0.012894362211227417,target_lift_success,0.001570136649829866,33,8,
21,6,green,grab the green cylinder,True,False,True,0.012358841486275196,target_lift_success,0.0013617337769915735,28,7,
22,6,red,grasp and lift the red cylinder,False,False,False,0.00012050289660692215,no_contact_or_no_close,0.0005744948475680299,,0,/data/biy/Raccoonbot_Openvla/reports/v11_initial_lift_close_1200_b8ga2_15000_rollout100_failgifs/v11_initial_lift_close_1200_b8ga2_15000_rollout100_failgifs_episode_0022_red.gif
23,6,yellow,lift the yellow cylinder without touching the others,True,False,True,0.012427286244928837,target_lift_success,0.0005448812959585833,33,7,
24,6,blue,pick up the blue cylinder,True,False,True,0.012990383431315422,target_lift_success,0.0015620817996968561,31,8,
25,7,red,move to the red cylinder and lift it,True,False,True,0.013134629931300879,target_lift_success,0.0011574049639989168,32,6,
26,7,green,grab and lift the green cylinder,False,False,False,0.00012050289660692215,no_contact_or_no_close,0.002135194786312272,,0,/data/biy/Raccoonbot_Openvla/reports/v11_initial_lift_close_1200_b8ga2_15000_rollout100_failgifs/v11_initial_lift_close_1200_b8ga2_15000_rollout100_failgifs_episode_0026_green.gif
27,7,blue,grab the blue cylinder,False,False,False,0.00012050289660692215,no_contact_or_no_close,0.0029176748371502977,,0,/data/biy/Raccoonbot_Openvla/reports/v11_initial_lift_close_1200_b8ga2_15000_rollout100_failgifs/v11_initial_lift_close_1200_b8ga2_15000_rollout100_failgifs_episode_0027_blue.gif
28,7,yellow,take hold of the yellow cylinder,True,False,True,0.01243958342820406,target_lift_success,0.0004968285055318271,36,7,
29,8,green,pick up only the green cylinder,True,False,True,0.014013140462338924,target_lift_success,0.0006387986513238957,29,8,
30,8,yellow,lift the yellow cylinder,True,False,True,0.013128853403031826,target_lift_success,0.0014288653466970455,29,7,
31,8,blue,lift the blue cylinder without touching the others,True,False,True,0.011809800751507282,target_lift_success,0.0006636700639603331,36,7,
32,8,red,pick up the cylinder that is red,False,True,False,0.00012050289660692215,wrong_touch_and_target_lift_fail,0.00509714888998229,,0,/data/biy/Raccoonbot_Openvla/reports/v11_initial_lift_close_1200_b8ga2_15000_rollout100_failgifs/v11_initial_lift_close_1200_b8ga2_15000_rollout100_failgifs_episode_0032_red.gif
